row_id,question,question_id,student_answer,reference_answer,assigned_points,max_points,domain
0,"['what', 'role', 'doe', 'the', 'path', 'play', 'in', 'determin', 'whether', 'or', 'not', 'a', 'switch', 'affect', 'a', 'bulb']",0,"['if', 'that', 'switch', 'is', 'with', 'the', 'path', 'between', 'that', 'bulb', 'and', 'the', 'batteri']","['if', 'a', 'bulb', 'and', 'a', 'switch', 'are', 'in', 'the', 'same', 'path', 'the', 'switch', 'affect', 'the', 'bulb']",1,1,
1,"['what', 'role', 'doe', 'the', 'path', 'play', 'in', 'determin', 'whether', 'or', 'not', 'a', 'switch', 'affect', 'a', 'bulb']",0,"['the', 'switch', 'the', 'bulb', 'and', 'the', 'batteri', 'have', 'to', 'be', 'contain', 'in', 'the', 'close', 'path']","['if', 'a', 'bulb', 'and', 'a', 'switch', 'are', 'in', 'the', 'same', 'path', 'the', 'switch', 'affect', 'the', 'bulb']",1,1,
2,"['what', 'role', 'doe', 'the', 'path', 'play', 'in', 'determin', 'whether', 'or', 'not', 'a', 'switch', 'affect', 'a', 'bulb']",0,"['the', 'path', 'play', 'an', 'import', 'role']","['if', 'a', 'bulb', 'and', 'a', 'switch', 'are', 'in', 'the', 'same', 'path', 'the', 'switch', 'affect', 'the', 'bulb']",0,1,
3,"['what', 'role', 'doe', 'the', 'path', 'play', 'in', 'determin', 'whether', 'or', 'not', 'a', 'switch', 'affect', 'a', 'bulb']",0,['uhhuh'],"['if', 'a', 'bulb', 'and', 'a', 'switch', 'are', 'in', 'the', 'same', 'path', 'the', 'switch', 'affect', 'the', 'bulb']",0,1,
4,"['what', 'role', 'doe', 'the', 'path', 'play', 'in', 'determin', 'whether', 'or', 'not', 'a', 'switch', 'affect', 'a', 'bulb']",0,"['switch', 'is', 'contain', 'in', 'a', 'circuit']","['if', 'a', 'bulb', 'and', 'a', 'switch', 'are', 'in', 'the', 'same', 'path', 'the', 'switch', 'affect', 'the', 'bulb']",0,1,
5,"['what', 'role', 'doe', 'the', 'path', 'play', 'in', 'determin', 'whether', 'or', 'not', 'a', 'switch', 'affect', 'a', 'bulb']",0,"['whether', 'there', 'is', 'a', 'close', 'path', 'with', 'a', 'batteri']","['if', 'a', 'bulb', 'and', 'a', 'switch', 'are', 'in', 'the', 'same', 'path', 'the', 'switch', 'affect', 'the', 'bulb']",0,1,
6,"['what', 'role', 'doe', 'the', 'path', 'play', 'in', 'determin', 'whether', 'or', 'not', 'a', 'switch', 'affect', 'a', 'bulb']",0,"['the', 'path', 'can', 'not', 'be', 'open']","['if', 'a', 'bulb', 'and', 'a', 'switch', 'are', 'in', 'the', 'same', 'path', 'the', 'switch', 'affect', 'the', 'bulb']",0,1,
7,"['what', 'role', 'doe', 'the', 'path', 'play', 'in', 'determin', 'whether', 'or', 'not', 'a', 'switch', 'affect', 'a', 'bulb']",0,"['the', 'bulb', 'must', 'be', 'contain', 'in', 'a', 'close', 'path', 'with', 'the', 'batteri']","['if', 'a', 'bulb', 'and', 'a', 'switch', 'are', 'in', 'the', 'same', 'path', 'the', 'switch', 'affect', 'the', 'bulb']",0,1,
8,"['what', 'role', 'doe', 'the', 'path', 'play', 'in', 'determin', 'whether', 'or', 'not', 'a', 'switch', 'affect', 'a', 'bulb']",0,"['a', 'bulb', 'must', 'be', 'in', 'a', 'close', 'path', 'with', 'a', 'batteri', 'and', 'a', 'switch', 'for', 'the', 'switch', 'to', 'affect', 'the', 'bulb']","['if', 'a', 'bulb', 'and', 'a', 'switch', 'are', 'in', 'the', 'same', 'path', 'the', 'switch', 'affect', 'the', 'bulb']",1,1,
9,"['what', 'role', 'doe', 'the', 'path', 'play', 'in', 'determin', 'whether', 'or', 'not', 'a', 'switch', 'affect', 'a', 'bulb']",0,"['the', 'switch', 'be', 'on', 'or', 'off', 'determin', 'whether', 'the', 'bulb', 'is', 'contain', 'in', 'a', 'close', 'path', 'with', 'the', 'batteri', 'or', 'not']","['if', 'a', 'bulb', 'and', 'a', 'switch', 'are', 'in', 'the', 'same', 'path', 'the', 'switch', 'affect', 'the', 'bulb']",0,1,
