row_id,question,question_id,student_answer,reference_answer,assigned_points,max_points,domain,dataset_name
0,"['what', 'role', 'doe', 'the', 'path', 'play', 'in', 'determining', 'whether', 'or', 'not', 'a', 'switch', 'affect', 'a', 'bulb']",0,"['if', 'that', 'switch', 'is', 'with', 'the', 'path', 'between', 'that', 'bulb', 'and', 'the', 'battery']","['if', 'a', 'bulb', 'and', 'a', 'switch', 'are', 'in', 'the', 'same', 'path', 'the', 'switch', 'affect', 'the', 'bulb']",1,1,,beetle
1,"['what', 'role', 'doe', 'the', 'path', 'play', 'in', 'determining', 'whether', 'or', 'not', 'a', 'switch', 'affect', 'a', 'bulb']",0,"['the', 'switch', 'the', 'bulb', 'and', 'the', 'battery', 'have', 'to', 'be', 'contained', 'in', 'the', 'closed', 'path']","['if', 'a', 'bulb', 'and', 'a', 'switch', 'are', 'in', 'the', 'same', 'path', 'the', 'switch', 'affect', 'the', 'bulb']",1,1,,beetle
2,"['what', 'role', 'doe', 'the', 'path', 'play', 'in', 'determining', 'whether', 'or', 'not', 'a', 'switch', 'affect', 'a', 'bulb']",0,"['the', 'path', 'play', 'an', 'important', 'role']","['if', 'a', 'bulb', 'and', 'a', 'switch', 'are', 'in', 'the', 'same', 'path', 'the', 'switch', 'affect', 'the', 'bulb']",0,1,,beetle
3,"['what', 'role', 'doe', 'the', 'path', 'play', 'in', 'determining', 'whether', 'or', 'not', 'a', 'switch', 'affect', 'a', 'bulb']",0,['uhhuh'],"['if', 'a', 'bulb', 'and', 'a', 'switch', 'are', 'in', 'the', 'same', 'path', 'the', 'switch', 'affect', 'the', 'bulb']",0,1,,beetle
4,"['what', 'role', 'doe', 'the', 'path', 'play', 'in', 'determining', 'whether', 'or', 'not', 'a', 'switch', 'affect', 'a', 'bulb']",0,"['switch', 'is', 'contained', 'in', 'a', 'circuit']","['if', 'a', 'bulb', 'and', 'a', 'switch', 'are', 'in', 'the', 'same', 'path', 'the', 'switch', 'affect', 'the', 'bulb']",0,1,,beetle
5,"['what', 'role', 'doe', 'the', 'path', 'play', 'in', 'determining', 'whether', 'or', 'not', 'a', 'switch', 'affect', 'a', 'bulb']",0,"['whether', 'there', 'is', 'a', 'closed', 'path', 'with', 'a', 'battery']","['if', 'a', 'bulb', 'and', 'a', 'switch', 'are', 'in', 'the', 'same', 'path', 'the', 'switch', 'affect', 'the', 'bulb']",0,1,,beetle
6,"['what', 'role', 'doe', 'the', 'path', 'play', 'in', 'determining', 'whether', 'or', 'not', 'a', 'switch', 'affect', 'a', 'bulb']",0,"['the', 'path', 'can', 'not', 'be', 'open']","['if', 'a', 'bulb', 'and', 'a', 'switch', 'are', 'in', 'the', 'same', 'path', 'the', 'switch', 'affect', 'the', 'bulb']",0,1,,beetle
7,"['what', 'role', 'doe', 'the', 'path', 'play', 'in', 'determining', 'whether', 'or', 'not', 'a', 'switch', 'affect', 'a', 'bulb']",0,"['the', 'bulb', 'must', 'be', 'contained', 'in', 'a', 'closed', 'path', 'with', 'the', 'battery']","['if', 'a', 'bulb', 'and', 'a', 'switch', 'are', 'in', 'the', 'same', 'path', 'the', 'switch', 'affect', 'the', 'bulb']",0,1,,beetle
8,"['what', 'role', 'doe', 'the', 'path', 'play', 'in', 'determining', 'whether', 'or', 'not', 'a', 'switch', 'affect', 'a', 'bulb']",0,"['a', 'bulb', 'must', 'be', 'in', 'a', 'closed', 'path', 'with', 'a', 'battery', 'and', 'a', 'switch', 'for', 'the', 'switch', 'to', 'affect', 'the', 'bulb']","['if', 'a', 'bulb', 'and', 'a', 'switch', 'are', 'in', 'the', 'same', 'path', 'the', 'switch', 'affect', 'the', 'bulb']",1,1,,beetle
9,"['what', 'role', 'doe', 'the', 'path', 'play', 'in', 'determining', 'whether', 'or', 'not', 'a', 'switch', 'affect', 'a', 'bulb']",0,"['the', 'switch', 'being', 'on', 'or', 'off', 'determines', 'whether', 'the', 'bulb', 'is', 'contained', 'in', 'a', 'closed', 'path', 'with', 'the', 'battery', 'or', 'not']","['if', 'a', 'bulb', 'and', 'a', 'switch', 'are', 'in', 'the', 'same', 'path', 'the', 'switch', 'affect', 'the', 'bulb']",0,1,,beetle
