row_id,question,question_id,student_answer,reference_answer,assigned_points,max_points,domain,dataset_name,normalized_points
0,What role does the path play in determining whether or not a switch affects a bulb?,0,if that switch is with the path between that bulb and the battery,if a bulb and a switch are in the same path the switch affects the bulb,1,1,,beetle,1.0
1,What role does the path play in determining whether or not a switch affects a bulb?,0,the switch the bulb and the battery have to be contained in the closed path,if a bulb and a switch are in the same path the switch affects the bulb,1,1,,beetle,1.0
2,What role does the path play in determining whether or not a switch affects a bulb?,0,the path plays an important role,if a bulb and a switch are in the same path the switch affects the bulb,0,1,,beetle,0.0
3,What role does the path play in determining whether or not a switch affects a bulb?,0,uh-huh,if a bulb and a switch are in the same path the switch affects the bulb,0,1,,beetle,0.0
4,What role does the path play in determining whether or not a switch affects a bulb?,0,switch is contained in a circuit,if a bulb and a switch are in the same path the switch affects the bulb,0,1,,beetle,0.0
5,What role does the path play in determining whether or not a switch affects a bulb?,0,whether there is a closed path with a battery,if a bulb and a switch are in the same path the switch affects the bulb,0,1,,beetle,0.0
6,What role does the path play in determining whether or not a switch affects a bulb?,0,the path cannot be open,if a bulb and a switch are in the same path the switch affects the bulb,0,1,,beetle,0.0
7,What role does the path play in determining whether or not a switch affects a bulb?,0,the bulb must be contained in a closed path with the battery,if a bulb and a switch are in the same path the switch affects the bulb,0,1,,beetle,0.0
8,What role does the path play in determining whether or not a switch affects a bulb?,0,a bulb must be in a closed path with a battery and a switch for the switch to affect the bulb,if a bulb and a switch are in the same path the switch affects the bulb,1,1,,beetle,1.0
9,What role does the path play in determining whether or not a switch affects a bulb?,0,the switch being on or off determines whether the bulb is contained in a closed path with the battery or not,if a bulb and a switch are in the same path the switch affects the bulb,0,1,,beetle,0.0
10,What role does the path play in determining whether or not a switch affects a bulb?,0,a switch has to be contained in a closed path with no gaps,if a bulb and a switch are in the same path the switch affects the bulb,0,1,,beetle,0.0
11,What role does the path play in determining whether or not a switch affects a bulb?,0,if the switch is on,if a bulb and a switch are in the same path the switch affects the bulb,0,1,,beetle,0.0
12,What role does the path play in determining whether or not a switch affects a bulb?,0,it plays a significant role if a switch is open it may or may not interfere with a closed path which is essential to light the bulb,if a bulb and a switch are in the same path the switch affects the bulb,0,1,,beetle,0.0
13,What role does the path play in determining whether or not a switch affects a bulb?,0,an path with a switch connecting to a battery must be closed,if a bulb and a switch are in the same path the switch affects the bulb,0,1,,beetle,0.0
14,What role does the path play in determining whether or not a switch affects a bulb?,0,they must be in the same path to affect the bulb,if a bulb and a switch are in the same path the switch affects the bulb,1,1,,beetle,1.0
15,What role does the path play in determining whether or not a switch affects a bulb?,0,a switch affects thebulb if it lies along a path that could create a closed circuit,if a bulb and a switch are in the same path the switch affects the bulb,0,1,,beetle,0.0
16,What role does the path play in determining whether or not a switch affects a bulb?,0,it must be closed,if a bulb and a switch are in the same path the switch affects the bulb,0,1,,beetle,0.0
17,What does a voltage reading of 0 tell you about the connection between a bulb terminal and a battery terminal?,1,there is a gap,the terminals are connected,0,1,,beetle,0.0
18,What does a voltage reading of 0 tell you about the connection between a bulb terminal and a battery terminal?,1,a bulb creates a gap between itself and the battery terminal,the terminals are connected,0,1,,beetle,0.0
19,What does a voltage reading of 0 tell you about the connection between a bulb terminal and a battery terminal?,1,give me a hint,the terminals are connected,0,1,,beetle,0.0
20,What does a voltage reading of 0 tell you about the connection between a bulb terminal and a battery terminal?,1,there is no voltage between the two terminals,the terminals are connected,0,1,,beetle,0.0
21,What does a voltage reading of 0 tell you about the connection between a bulb terminal and a battery terminal?,1,they are in different states,the terminals are connected,0,1,,beetle,0.0
22,What does a voltage reading of 0 tell you about the connection between a bulb terminal and a battery terminal?,1,they are not connected,the terminals are connected,0,1,,beetle,0.0
23,What does a voltage reading of 0 tell you about the connection between a bulb terminal and a battery terminal?,1,they are connected,the terminals are connected,1,1,,beetle,1.0
24,What does a voltage reading of 0 tell you about the connection between a bulb terminal and a battery terminal?,1,the bulb terminal and the battery terminal are connected,the terminals are connected,1,1,,beetle,1.0
