row_id,question,question_id,student_answer,reference_answer,assigned_points,max_points,domain,dataset_name
0,"['what', 'role', 'doe', 'the', 'path', 'play', 'in', 'determin', 'whether', 'or', 'not', 'a', 'switch', 'affect', 'a', 'bulb']",0,"['if', 'that', 'switch', 'is', 'with', 'the', 'path', 'between', 'that', 'bulb', 'and', 'the', 'batteri']","['if', 'a', 'bulb', 'and', 'a', 'switch', 'are', 'in', 'the', 'same', 'path', 'the', 'switch', 'affect', 'the', 'bulb']",1,1,,beetle
1,"['what', 'role', 'doe', 'the', 'path', 'play', 'in', 'determin', 'whether', 'or', 'not', 'a', 'switch', 'affect', 'a', 'bulb']",0,"['the', 'switch', 'the', 'bulb', 'and', 'the', 'batteri', 'have', 'to', 'be', 'contain', 'in', 'the', 'close', 'path']","['if', 'a', 'bulb', 'and', 'a', 'switch', 'are', 'in', 'the', 'same', 'path', 'the', 'switch', 'affect', 'the', 'bulb']",1,1,,beetle
2,"['what', 'role', 'doe', 'the', 'path', 'play', 'in', 'determin', 'whether', 'or', 'not', 'a', 'switch', 'affect', 'a', 'bulb']",0,"['the', 'path', 'play', 'an', 'import', 'role']","['if', 'a', 'bulb', 'and', 'a', 'switch', 'are', 'in', 'the', 'same', 'path', 'the', 'switch', 'affect', 'the', 'bulb']",0,1,,beetle
3,"['what', 'role', 'doe', 'the', 'path', 'play', 'in', 'determin', 'whether', 'or', 'not', 'a', 'switch', 'affect', 'a', 'bulb']",0,['huh'],"['if', 'a', 'bulb', 'and', 'a', 'switch', 'are', 'in', 'the', 'same', 'path', 'the', 'switch', 'affect', 'the', 'bulb']",0,1,,beetle
4,"['what', 'role', 'doe', 'the', 'path', 'play', 'in', 'determin', 'whether', 'or', 'not', 'a', 'switch', 'affect', 'a', 'bulb']",0,"['switch', 'is', 'contain', 'in', 'a', 'circuit']","['if', 'a', 'bulb', 'and', 'a', 'switch', 'are', 'in', 'the', 'same', 'path', 'the', 'switch', 'affect', 'the', 'bulb']",0,1,,beetle
5,"['what', 'role', 'doe', 'the', 'path', 'play', 'in', 'determin', 'whether', 'or', 'not', 'a', 'switch', 'affect', 'a', 'bulb']",0,"['whether', 'there', 'is', 'a', 'close', 'path', 'with', 'a', 'batteri']","['if', 'a', 'bulb', 'and', 'a', 'switch', 'are', 'in', 'the', 'same', 'path', 'the', 'switch', 'affect', 'the', 'bulb']",0,1,,beetle
6,"['what', 'role', 'doe', 'the', 'path', 'play', 'in', 'determin', 'whether', 'or', 'not', 'a', 'switch', 'affect', 'a', 'bulb']",0,"['the', 'path', 'can', 'not', 'be', 'open']","['if', 'a', 'bulb', 'and', 'a', 'switch', 'are', 'in', 'the', 'same', 'path', 'the', 'switch', 'affect', 'the', 'bulb']",0,1,,beetle
7,"['what', 'role', 'doe', 'the', 'path', 'play', 'in', 'determin', 'whether', 'or', 'not', 'a', 'switch', 'affect', 'a', 'bulb']",0,"['the', 'bulb', 'must', 'be', 'contain', 'in', 'a', 'close', 'path', 'with', 'the', 'batteri']","['if', 'a', 'bulb', 'and', 'a', 'switch', 'are', 'in', 'the', 'same', 'path', 'the', 'switch', 'affect', 'the', 'bulb']",0,1,,beetle
8,"['what', 'role', 'doe', 'the', 'path', 'play', 'in', 'determin', 'whether', 'or', 'not', 'a', 'switch', 'affect', 'a', 'bulb']",0,"['a', 'bulb', 'must', 'be', 'in', 'a', 'close', 'path', 'with', 'a', 'batteri', 'and', 'a', 'switch', 'for', 'the', 'switch', 'to', 'affect', 'the', 'bulb']","['if', 'a', 'bulb', 'and', 'a', 'switch', 'are', 'in', 'the', 'same', 'path', 'the', 'switch', 'affect', 'the', 'bulb']",1,1,,beetle
9,"['what', 'role', 'doe', 'the', 'path', 'play', 'in', 'determin', 'whether', 'or', 'not', 'a', 'switch', 'affect', 'a', 'bulb']",0,"['the', 'switch', 'be', 'on', 'or', 'off', 'determin', 'whether', 'the', 'bulb', 'is', 'contain', 'in', 'a', 'close', 'path', 'with', 'the', 'batteri', 'or', 'not']","['if', 'a', 'bulb', 'and', 'a', 'switch', 'are', 'in', 'the', 'same', 'path', 'the', 'switch', 'affect', 'the', 'bulb']",0,1,,beetle
10,"['what', 'role', 'doe', 'the', 'path', 'play', 'in', 'determin', 'whether', 'or', 'not', 'a', 'switch', 'affect', 'a', 'bulb']",0,"['a', 'switch', 'has', 'to', 'be', 'contain', 'in', 'a', 'close', 'path', 'with', 'no', 'gap']","['if', 'a', 'bulb', 'and', 'a', 'switch', 'are', 'in', 'the', 'same', 'path', 'the', 'switch', 'affect', 'the', 'bulb']",0,1,,beetle
11,"['what', 'role', 'doe', 'the', 'path', 'play', 'in', 'determin', 'whether', 'or', 'not', 'a', 'switch', 'affect', 'a', 'bulb']",0,"['if', 'the', 'switch', 'is', 'on']","['if', 'a', 'bulb', 'and', 'a', 'switch', 'are', 'in', 'the', 'same', 'path', 'the', 'switch', 'affect', 'the', 'bulb']",0,1,,beetle
12,"['what', 'role', 'doe', 'the', 'path', 'play', 'in', 'determin', 'whether', 'or', 'not', 'a', 'switch', 'affect', 'a', 'bulb']",0,"['it', 'play', 'a', 'signific', 'role', 'if', 'a', 'switch', 'is', 'open', 'it', 'may', 'or', 'may', 'not', 'interfer', 'with', 'a', 'close', 'path', 'which', 'is', 'essenti', 'to', 'light', 'the', 'bulb']","['if', 'a', 'bulb', 'and', 'a', 'switch', 'are', 'in', 'the', 'same', 'path', 'the', 'switch', 'affect', 'the', 'bulb']",0,1,,beetle
13,"['what', 'role', 'doe', 'the', 'path', 'play', 'in', 'determin', 'whether', 'or', 'not', 'a', 'switch', 'affect', 'a', 'bulb']",0,"['an', 'path', 'with', 'a', 'switch', 'connect', 'to', 'a', 'batteri', 'must', 'be', 'close']","['if', 'a', 'bulb', 'and', 'a', 'switch', 'are', 'in', 'the', 'same', 'path', 'the', 'switch', 'affect', 'the', 'bulb']",0,1,,beetle
14,"['what', 'role', 'doe', 'the', 'path', 'play', 'in', 'determin', 'whether', 'or', 'not', 'a', 'switch', 'affect', 'a', 'bulb']",0,"['they', 'must', 'be', 'in', 'the', 'same', 'path', 'to', 'affect', 'the', 'bulb']","['if', 'a', 'bulb', 'and', 'a', 'switch', 'are', 'in', 'the', 'same', 'path', 'the', 'switch', 'affect', 'the', 'bulb']",1,1,,beetle
