row_id,question,question_id,student_answer,reference_answer,assigned_points,max_points,domain,dataset_name
0,"['what', 'is', 'the', 'role', 'of', 'a', 'prototyp', 'program', 'in', 'problem', 'solv']",131,"['high', 'risk', 'problem', 'are', 'address', 'in', 'the', 'prototyp', 'program', 'to', 'make', 'sure', 'that', 'the', 'program', 'is', 'feasibl', 'a', 'prototyp', 'may', 'also', 'be', 'use', 'to', 'show', 'a', 'compani', 'that', 'the', 'softwar', 'can', 'be', 'possibl', 'program']","['to', 'simul', 'the', 'behaviour', 'of', 'portion', 'of', 'the', 'desir', 'softwar', 'product']",3.5,5,science,texas
1,"['what', 'is', 'the', 'role', 'of', 'a', 'prototyp', 'program', 'in', 'problem', 'solv']",131,"['to', 'simul', 'portion', 'of', 'the', 'desir', 'final', 'product', 'with', 'a', 'quick', 'and', 'easi', 'program', 'that', 'doe', 'a', 'small', 'specif', 'job', 'it', 'is', 'a', 'way', 'to', 'help', 'see', 'what', 'the', 'problem', 'is', 'and', 'how', 'you', 'may', 'solv', 'it', 'in', 'the', 'final', 'project']","['to', 'simul', 'the', 'behaviour', 'of', 'portion', 'of', 'the', 'desir', 'softwar', 'product']",5.0,5,science,texas
2,"['what', 'is', 'the', 'role', 'of', 'a', 'prototyp', 'program', 'in', 'problem', 'solv']",131,"['a', 'prototyp', 'program', 'simul', 'the', 'behavior', 'of', 'portion', 'of', 'the', 'desir', 'softwar', 'product', 'to', 'allow', 'for', 'error', 'check']","['to', 'simul', 'the', 'behaviour', 'of', 'portion', 'of', 'the', 'desir', 'softwar', 'product']",4.0,5,science,texas
3,"['what', 'is', 'the', 'role', 'of', 'a', 'prototyp', 'program', 'in', 'problem', 'solv']",131,"['defin', 'in', 'the', 'specif', 'phase', 'a', 'prototyp', 'stimul', 'the', 'behavior', 'of', 'portion', 'of', 'the', 'desir', 'softwar', 'product', 'mean', 'the', 'role', 'of', 'a', 'prototyp', 'is', 'a', 'temporari', 'solut', 'until', 'the', 'program', 'itself', 'is', 'refin', 'to', 'be', 'use', 'extens', 'in', 'problem', 'solv']","['to', 'simul', 'the', 'behaviour', 'of', 'portion', 'of', 'the', 'desir', 'softwar', 'product']",5.0,5,science,texas
4,"['what', 'is', 'the', 'role', 'of', 'a', 'prototyp', 'program', 'in', 'problem', 'solv']",131,"['it', 'is', 'use', 'to', 'let', 'the', 'user', 'have', 'a', 'first', 'idea', 'of', 'the', 'complet', 'program', 'and', 'allow', 'the', 'client', 'to', 'evalu', 'the', 'program', 'this', 'can', 'generat', 'much', 'feedback', 'includ', 'softwar', 'specif', 'and', 'project', 'estim', 'of', 'the', 'total', 'project']","['to', 'simul', 'the', 'behaviour', 'of', 'portion', 'of', 'the', 'desir', 'softwar', 'product']",3.0,5,science,texas
5,"['what', 'is', 'the', 'role', 'of', 'a', 'prototyp', 'program', 'in', 'problem', 'solv']",131,"['to', 'find', 'problem', 'and', 'error', 'in', 'a', 'program', 'befor', 'it', 'is', 'final']","['to', 'simul', 'the', 'behaviour', 'of', 'portion', 'of', 'the', 'desir', 'softwar', 'product']",2.0,5,science,texas
6,"['what', 'is', 'the', 'role', 'of', 'a', 'prototyp', 'program', 'in', 'problem', 'solv']",131,"['to', 'address', 'major', 'issu', 'in', 'the', 'creation', 'of', 'the', 'program', 'there', 'is', 'no', 'way', 'to', 'account', 'for', 'all', 'possibl', 'bug', 'in', 'the', 'program', 'but', 'it', 'is', 'possibl', 'to', 'prove', 'the', 'program', 'is', 'tangibl']","['to', 'simul', 'the', 'behaviour', 'of', 'portion', 'of', 'the', 'desir', 'softwar', 'product']",2.5,5,science,texas
7,"['what', 'is', 'the', 'role', 'of', 'a', 'prototyp', 'program', 'in', 'problem', 'solv']",131,"['you', 'can', 'break', 'the', 'whole', 'program', 'into', 'prototyp', 'program', 'to', 'simul', 'part', 'of', 'the', 'final', 'program']","['to', 'simul', 'the', 'behaviour', 'of', 'portion', 'of', 'the', 'desir', 'softwar', 'product']",5.0,5,science,texas
8,"['what', 'is', 'the', 'role', 'of', 'a', 'prototyp', 'program', 'in', 'problem', 'solv']",131,['name'],"['to', 'simul', 'the', 'behaviour', 'of', 'portion', 'of', 'the', 'desir', 'softwar', 'product']",3.5,5,science,texas
9,"['what', 'is', 'the', 'role', 'of', 'a', 'prototyp', 'program', 'in', 'problem', 'solv']",131,"['simul', 'the', 'behavior', 'of', 'onli', 'a', 'portion', 'of', 'the', 'desir', 'softwar', 'product']","['to', 'simul', 'the', 'behaviour', 'of', 'portion', 'of', 'the', 'desir', 'softwar', 'product']",5.0,5,science,texas
10,"['what', 'is', 'the', 'role', 'of', 'a', 'prototyp', 'program', 'in', 'problem', 'solv']",131,"['a', 'program', 'that', 'stimul', 'the', 'behavior', 'of', 'portion', 'of', 'the', 'desir', 'softwar', 'product']","['to', 'simul', 'the', 'behaviour', 'of', 'portion', 'of', 'the', 'desir', 'softwar', 'product']",5.0,5,science,texas
11,"['what', 'is', 'the', 'role', 'of', 'a', 'prototyp', 'program', 'in', 'problem', 'solv']",131,"['a', 'program', 'that', 'simul', 'the', 'behavior', 'of', 'portion', 'of', 'the', 'desir', 'softwar', 'product']","['to', 'simul', 'the', 'behaviour', 'of', 'portion', 'of', 'the', 'desir', 'softwar', 'product']",5.0,5,science,texas
12,"['what', 'is', 'the', 'role', 'of', 'a', 'prototyp', 'program', 'in', 'problem', 'solv']",131,"['to', 'lay', 'out', 'the', 'basic', 'and', 'give', 'you', 'a', 'start', 'point', 'in', 'the', 'actual', 'problem', 'solv']","['to', 'simul', 'the', 'behaviour', 'of', 'portion', 'of', 'the', 'desir', 'softwar', 'product']",2.0,5,science,texas
13,"['what', 'is', 'the', 'role', 'of', 'a', 'prototyp', 'program', 'in', 'problem', 'solv']",131,"['to', 'simul', 'problem', 'solv', 'for', 'part', 'of', 'the', 'problem']","['to', 'simul', 'the', 'behaviour', 'of', 'portion', 'of', 'the', 'desir', 'softwar', 'product']",4.5,5,science,texas
14,"['what', 'is', 'the', 'role', 'of', 'a', 'prototyp', 'program', 'in', 'problem', 'solv']",131,"['a', 'prototyp', 'program', 'provid', 'a', 'basic', 'groundwork', 'from', 'which', 'to', 'further', 'enhanc', 'and', 'improv', 'a', 'solut', 'to', 'a', 'problem']","['to', 'simul', 'the', 'behaviour', 'of', 'portion', 'of', 'the', 'desir', 'softwar', 'product']",2.0,5,science,texas
15,"['what', 'is', 'the', 'role', 'of', 'a', 'prototyp', 'program', 'in', 'problem', 'solv']",131,"['a', 'prototyp', 'program', 'is', 'a', 'part', 'of', 'the', 'specif', 'phase', 'of', 'softwar', 'problem', 'solv', 'it', 'employ', 'to', 'illustr', 'how', 'the', 'key', 'problem', 'or', 'problem', 'will', 'be', 'solv', 'in', 'a', 'program', 'and', 'sometim', 'serv', 'as', 'a', 'base', 'program', 'to', 'expand', 'upon']","['to', 'simul', 'the', 'behaviour', 'of', 'portion', 'of', 'the', 'desir', 'softwar', 'product']",4.5,5,science,texas
16,"['what', 'is', 'the', 'role', 'of', 'a', 'prototyp', 'program', 'in', 'problem', 'solv']",131,"['program', 'that', 'simul', 'the', 'behavior', 'of', 'portion', 'of', 'the', 'desir', 'softwar', 'product']","['to', 'simul', 'the', 'behaviour', 'of', 'portion', 'of', 'the', 'desir', 'softwar', 'product']",5.0,5,science,texas
17,"['what', 'is', 'the', 'role', 'of', 'a', 'prototyp', 'program', 'in', 'problem', 'solv']",131,"['it', 'provid', 'a', 'limit', 'proof', 'of', 'concept', 'to', 'verifi', 'with', 'the', 'client', 'befor', 'actual', 'program', 'the', 'whole', 'applic']","['to', 'simul', 'the', 'behaviour', 'of', 'portion', 'of', 'the', 'desir', 'softwar', 'product']",2.0,5,science,texas
18,"['what', 'is', 'the', 'role', 'of', 'a', 'prototyp', 'program', 'in', 'problem', 'solv']",131,"['it', 'test', 'the', 'main', 'function', 'of', 'the', 'program', 'while', 'leav', 'out', 'the', 'finer', 'detail']","['to', 'simul', 'the', 'behaviour', 'of', 'portion', 'of', 'the', 'desir', 'softwar', 'product']",2.0,5,science,texas
19,"['what', 'is', 'the', 'role', 'of', 'a', 'prototyp', 'program', 'in', 'problem', 'solv']",131,"['to', 'get', 'earli', 'feedback', 'from', 'user', 'in', 'earli', 'stage', 'of', 'develop', 'to', 'show', 'user', 'a', 'first', 'idea', 'of', 'what', 'the', 'program', 'will', 'look', 'like', 'to', 'make', 'sure', 'the', 'program', 'will', 'meet', 'requir', 'befor', 'intens', 'program', 'begin']","['to', 'simul', 'the', 'behaviour', 'of', 'portion', 'of', 'the', 'desir', 'softwar', 'product']",2.5,5,science,texas
20,"['what', 'is', 'the', 'role', 'of', 'a', 'prototyp', 'program', 'in', 'problem', 'solv']",131,"['it', 'simul', 'the', 'behavior', 'of', 'portion', 'of', 'the', 'desir', 'softwar', 'product']","['to', 'simul', 'the', 'behaviour', 'of', 'portion', 'of', 'the', 'desir', 'softwar', 'product']",5.0,5,science,texas
21,"['what', 'is', 'the', 'role', 'of', 'a', 'prototyp', 'program', 'in', 'problem', 'solv']",131,"['it', 'simul', 'the', 'behavior', 'of', 'portion', 'of', 'the', 'desir', 'softwar', 'product']","['to', 'simul', 'the', 'behaviour', 'of', 'portion', 'of', 'the', 'desir', 'softwar', 'product']",5.0,5,science,texas
22,"['what', 'is', 'the', 'role', 'of', 'a', 'prototyp', 'program', 'in', 'problem', 'solv']",131,"['a', 'prototyp', 'program', 'is', 'use', 'in', 'problem', 'solv', 'to', 'collect', 'data', 'for', 'the', 'problem']","['to', 'simul', 'the', 'behaviour', 'of', 'portion', 'of', 'the', 'desir', 'softwar', 'product']",1.5,5,science,texas
23,"['what', 'is', 'the', 'role', 'of', 'a', 'prototyp', 'program', 'in', 'problem', 'solv']",131,"['to', 'eas', 'the', 'understand', 'of', 'problem', 'under', 'discuss', 'and', 'to', 'eas', 'the', 'understand', 'of', 'the', 'program', 'itself']","['to', 'simul', 'the', 'behaviour', 'of', 'portion', 'of', 'the', 'desir', 'softwar', 'product']",2.5,5,science,texas
24,"['what', 'is', 'the', 'role', 'of', 'a', 'prototyp', 'program', 'in', 'problem', 'solv']",131,"['it', 'simul', 'the', 'behavior', 'of', 'portion', 'of', 'the', 'desir', 'softwar', 'product']","['to', 'simul', 'the', 'behaviour', 'of', 'portion', 'of', 'the', 'desir', 'softwar', 'product']",5.0,5,science,texas
25,"['what', 'is', 'the', 'role', 'of', 'a', 'prototyp', 'program', 'in', 'problem', 'solv']",131,"['the', 'role', 'of', 'a', 'prototyp', 'program', 'is', 'to', 'help', 'spot', 'key', 'problem', 'that', 'may', 'aris', 'dure', 'the', 'actual', 'program']","['to', 'simul', 'the', 'behaviour', 'of', 'portion', 'of', 'the', 'desir', 'softwar', 'product']",2.0,5,science,texas
26,"['what', 'is', 'the', 'role', 'of', 'a', 'prototyp', 'program', 'in', 'problem', 'solv']",131,"['the', 'prototyp', 'program', 'give', 'a', 'general', 'idea', 'of', 'what', 'the', 'end', 'product', 'will', 'do', 'without', 'the', 'time', 'and', 'effort', 'to', 'write', 'out', 'the', 'entir', 'program']","['to', 'simul', 'the', 'behaviour', 'of', 'portion', 'of', 'the', 'desir', 'softwar', 'product']",3.0,5,science,texas
27,"['what', 'is', 'the', 'role', 'of', 'a', 'prototyp', 'program', 'in', 'problem', 'solv']",131,"['to', 'show', 'that', 'a', 'certain', 'part', 'of', 'the', 'program', 'work', 'as', 'it', 'is', 'suppos', 'to']","['to', 'simul', 'the', 'behaviour', 'of', 'portion', 'of', 'the', 'desir', 'softwar', 'product']",3.0,5,science,texas
28,"['what', 'is', 'the', 'role', 'of', 'a', 'prototyp', 'program', 'in', 'problem', 'solv']",131,"['prototyp', 'program', 'is', 'an', 'approach', 'to', 'program', 'that', 'enabl', 'one', 'to', 'take', 'an', 'organ', 'approach', 'to', 'develop', 'an', 'effect', 'program', 'with', 'minim', 'error', 'and', 'a', 'strateg', 'pattern', 'when', 'solv', 'a', 'problem', 'ie', 'book', 'gave', 'an', 'exampl', 'of', 'a', 'costum', 'withdraw', 'money', 'from', 'a', 'bank', 'the', 'approach', 'that', 'was', 'take', 'on', 'a', 'pseudo', 'code', 'level', 'dure', 'the', 'ooadesign', 'lil', 'befor', 'proceed', 'into', 'creat', 'a', 'solut']","['to', 'simul', 'the', 'behaviour', 'of', 'portion', 'of', 'the', 'desir', 'softwar', 'product']",2.5,5,science,texas
29,"['what', 'stage', 'in', 'the', 'softwar', 'life', 'cycl', 'are', 'influenc', 'by', 'the', 'test', 'stage']",132,"['refin', 'and', 'possibl', 'the', 'design', 'if', 'the', 'test', 'phase', 'reveal', 'problem', 'in', 'the', 'design', 'product', 'can', 'be', 'affect', 'if', 'the', 'program', 'is', 'unwork', 'in', 'it', 'current', 'form', 'which', 'will', 'lead', 'to', 'a', 'later', 'product', 'time', 'than', 'origin', 'estim', 'also', 'affect', 'code', 'becaus', 'after', 'test', 'you', 'may', 'need', 'to', 'rewrit', 'the', 'code', 'for', 'the', 'program', 'to', 'remov', 'error']","['the', 'test', 'stage', 'can', 'influenc', 'both', 'the', 'code', 'stage', 'phase', '5', 'and', 'the', 'solut', 'refin', 'stage', 'phase', '7']",3.5,5,science,texas
30,"['what', 'stage', 'in', 'the', 'softwar', 'life', 'cycl', 'are', 'influenc', 'by', 'the', 'test', 'stage']",132,"['the', 'implement', 'phase', 'and', 'the', 'mainten', 'phase', 'are', 'effect']","['the', 'test', 'stage', 'can', 'influenc', 'both', 'the', 'code', 'stage', 'phase', '5', 'and', 'the', 'solut', 'refin', 'stage', 'phase', '7']",4.0,5,science,texas
31,"['what', 'stage', 'in', 'the', 'softwar', 'life', 'cycl', 'are', 'influenc', 'by', 'the', 'test', 'stage']",132,"['verif', 'code', 'refin', 'the', 'solut', 'and', 'mainten', 'are', 'all', 'influenc', 'by', 'the', 'test', 'stage']","['the', 'test', 'stage', 'can', 'influenc', 'both', 'the', 'code', 'stage', 'phase', '5', 'and', 'the', 'solut', 'refin', 'stage', 'phase', '7']",4.5,5,science,texas
32,"['what', 'stage', 'in', 'the', 'softwar', 'life', 'cycl', 'are', 'influenc', 'by', 'the', 'test', 'stage']",132,"['in', 'up', 'the', 'stage', 'in', 'the', 'softwar', 'life', 'cycl', 'are', 'influenc', 'by', 'the', 'test', 'stage', 'is', 'elabor', 'phase', 'refin', 'project', 'vision', 'oper', 'develop', 'of', 'core', 'system', 'develop', 'of', 'system', 'requir', 'more', 'accur', 'time', 'and', 'cost', 'estim', 'construct', 'phase', 'oper', 'develop', 'of', 'remain', 'system', 'transit', 'phasetest', 'and', 'deploy', 'of', 'the', 'system']","['the', 'test', 'stage', 'can', 'influenc', 'both', 'the', 'code', 'stage', 'phase', '5', 'and', 'the', 'solut', 'refin', 'stage', 'phase', '7']",3.0,5,science,texas
