row_id,question,question_id,student_answer,reference_answer,assigned_points,max_points,domain,dataset_name,normalized_points
0,What role does the path play in determining whether or not a switch affects a bulb?,0,"['switch', 'path', 'bulb', 'battery']","['bulb', 'switch', 'path', 'switch', 'affect', 'bulb']",1,1,,beetle,1.0
1,What role does the path play in determining whether or not a switch affects a bulb?,0,"['switch', 'bulb', 'battery', 'contained', 'closed', 'path']","['bulb', 'switch', 'path', 'switch', 'affect', 'bulb']",1,1,,beetle,1.0
2,What role does the path play in determining whether or not a switch affects a bulb?,0,"['path', 'play', 'important', 'role']","['bulb', 'switch', 'path', 'switch', 'affect', 'bulb']",0,1,,beetle,0.0
3,What role does the path play in determining whether or not a switch affects a bulb?,0,['huh'],"['bulb', 'switch', 'path', 'switch', 'affect', 'bulb']",0,1,,beetle,0.0
4,What role does the path play in determining whether or not a switch affects a bulb?,0,"['switch', 'contained', 'circuit']","['bulb', 'switch', 'path', 'switch', 'affect', 'bulb']",0,1,,beetle,0.0
5,What role does the path play in determining whether or not a switch affects a bulb?,0,"['whether', 'closed', 'path', 'battery']","['bulb', 'switch', 'path', 'switch', 'affect', 'bulb']",0,1,,beetle,0.0
6,What role does the path play in determining whether or not a switch affects a bulb?,0,"['path', 'open']","['bulb', 'switch', 'path', 'switch', 'affect', 'bulb']",0,1,,beetle,0.0
7,What role does the path play in determining whether or not a switch affects a bulb?,0,"['bulb', 'must', 'contained', 'closed', 'path', 'battery']","['bulb', 'switch', 'path', 'switch', 'affect', 'bulb']",0,1,,beetle,0.0
8,What role does the path play in determining whether or not a switch affects a bulb?,0,"['bulb', 'must', 'closed', 'path', 'battery', 'switch', 'switch', 'affect', 'bulb']","['bulb', 'switch', 'path', 'switch', 'affect', 'bulb']",1,1,,beetle,1.0
9,What role does the path play in determining whether or not a switch affects a bulb?,0,"['switch', 'determines', 'whether', 'bulb', 'contained', 'closed', 'path', 'battery']","['bulb', 'switch', 'path', 'switch', 'affect', 'bulb']",0,1,,beetle,0.0
10,What role does the path play in determining whether or not a switch affects a bulb?,0,"['switch', 'contained', 'closed', 'path', 'gap']","['bulb', 'switch', 'path', 'switch', 'affect', 'bulb']",0,1,,beetle,0.0
11,What role does the path play in determining whether or not a switch affects a bulb?,0,['switch'],"['bulb', 'switch', 'path', 'switch', 'affect', 'bulb']",0,1,,beetle,0.0
12,What role does the path play in determining whether or not a switch affects a bulb?,0,"['play', 'significant', 'role', 'switch', 'open', 'may', 'may', 'interfere', 'closed', 'path', 'essential', 'light', 'bulb']","['bulb', 'switch', 'path', 'switch', 'affect', 'bulb']",0,1,,beetle,0.0
13,What role does the path play in determining whether or not a switch affects a bulb?,0,"['path', 'switch', 'connecting', 'battery', 'must', 'closed']","['bulb', 'switch', 'path', 'switch', 'affect', 'bulb']",0,1,,beetle,0.0
14,What role does the path play in determining whether or not a switch affects a bulb?,0,"['must', 'path', 'affect', 'bulb']","['bulb', 'switch', 'path', 'switch', 'affect', 'bulb']",1,1,,beetle,1.0
15,What role does the path play in determining whether or not a switch affects a bulb?,0,"['switch', 'affect', 'thebulb', 'lie', 'along', 'path', 'could', 'create', 'closed', 'circuit']","['bulb', 'switch', 'path', 'switch', 'affect', 'bulb']",0,1,,beetle,0.0
16,What role does the path play in determining whether or not a switch affects a bulb?,0,"['must', 'closed']","['bulb', 'switch', 'path', 'switch', 'affect', 'bulb']",0,1,,beetle,0.0
17,What does a voltage reading of 0 tell you about the connection between a bulb terminal and a battery terminal?,1,['gap'],"['terminal', 'connected']",0,1,,beetle,0.0
18,What does a voltage reading of 0 tell you about the connection between a bulb terminal and a battery terminal?,1,"['bulb', 'creates', 'gap', 'battery', 'terminal']","['terminal', 'connected']",0,1,,beetle,0.0
19,What does a voltage reading of 0 tell you about the connection between a bulb terminal and a battery terminal?,1,"['give', 'hint']","['terminal', 'connected']",0,1,,beetle,0.0
20,What does a voltage reading of 0 tell you about the connection between a bulb terminal and a battery terminal?,1,"['voltage', 'two', 'terminal']","['terminal', 'connected']",0,1,,beetle,0.0
21,What does a voltage reading of 0 tell you about the connection between a bulb terminal and a battery terminal?,1,"['different', 'state']","['terminal', 'connected']",0,1,,beetle,0.0
22,What does a voltage reading of 0 tell you about the connection between a bulb terminal and a battery terminal?,1,['connected'],"['terminal', 'connected']",0,1,,beetle,0.0
23,What does a voltage reading of 0 tell you about the connection between a bulb terminal and a battery terminal?,1,['connected'],"['terminal', 'connected']",1,1,,beetle,1.0
24,What does a voltage reading of 0 tell you about the connection between a bulb terminal and a battery terminal?,1,"['bulb', 'terminal', 'battery', 'terminal', 'connected']","['terminal', 'connected']",1,1,,beetle,1.0
25,What does a voltage reading of 0 tell you about the connection between a bulb terminal and a battery terminal?,1,"['terminal', 'connected', 'negative', 'voltage', 'terminal']","['terminal', 'connected']",0,1,,beetle,0.0
26,What does a voltage reading of 0 tell you about the connection between a bulb terminal and a battery terminal?,1,"['tell', 'answer']","['terminal', 'connected']",0,1,,beetle,0.0
27,What does a voltage reading of 0 tell you about the connection between a bulb terminal and a battery terminal?,1,"['difference', 'electrical', 'state', 'also', 'gap', 'circuit']","['terminal', 'connected']",0,1,,beetle,0.0
28,What does a voltage reading of 0 tell you about the connection between a bulb terminal and a battery terminal?,1,"['terminal', 'separated', 'gap', 'battery', 'terminal', 'bulb', 'terminal', 'side', 'gap']","['terminal', 'connected']",0,1,,beetle,0.0
29,What does a voltage reading of 0 tell you about the connection between a bulb terminal and a battery terminal?,1,"['damaged', 'bulb']","['terminal', 'connected']",0,1,,beetle,0.0
30,What does a voltage reading of 0 tell you about the connection between a bulb terminal and a battery terminal?,1,"['short', 'circuit', 'connection', 'bulb', 'terminal', 'battery', 'terminal']","['terminal', 'connected']",0,1,,beetle,0.0
31,What does a voltage reading of 0 tell you about the connection between a bulb terminal and a battery terminal?,1,"['bulb', 'connected', 'positive', 'end', 'terminal']","['terminal', 'connected']",0,1,,beetle,0.0
32,What does a voltage reading of 0 tell you about the connection between a bulb terminal and a battery terminal?,1,"['connected', 'gap']","['terminal', 'connected']",1,1,,beetle,1.0
33,What does a voltage reading of 0 tell you about the connection between a bulb terminal and a battery terminal?,1,"['share', 'electrical', 'state']","['terminal', 'connected']",1,1,,beetle,1.0
34,What does a voltage reading of 0 tell you about the connection between a bulb terminal and a battery terminal?,1,"['two', 'terminal', 'electrical', 'state']","['terminal', 'connected']",1,1,,beetle,1.0
35,Explain why you got a voltage reading of 0 for terminal 6 and the positive terminal.,2,"['positive', 'battery', 'terminal', 'connected', 'terminal', 'six']","['terminal', '6', 'positive', 'terminal', 'connected']",1,1,,beetle,1.0
36,Explain why you got a voltage reading of 0 for terminal 6 and the positive terminal.,2,"['terminal', '6', 'connected', 'positive', 'terminal']","['terminal', '6', 'positive', 'terminal', 'connected']",1,1,,beetle,1.0
37,Explain why you got a voltage reading of 0 for terminal 6 and the positive terminal.,2,"['bulb', 'work']","['terminal', '6', 'positive', 'terminal', 'connected']",0,1,,beetle,0.0
